Customer Name,Total Spent,Total Orders,Average Purchase,Average Monthly Spend,Average Monthly Orders,Last Ordered,Customer Since,Customer Lifetime
Customer3416,$375.16,18,$20.84,$11.03,0,"Jan 29, 2022","Mar 25, 2021",2 yrs 9 mos 9 dys
Customer1698,$45.15,1,$45.15,$0.48,0,"Feb 26, 2016","Feb 26, 2016",7 yrs 10 mos 19 dys
Customer7993,$45.12,1,$45.12,$3.22,0,"Dec 15, 2022","Dec 15, 2022",1 yr 30 dys
Customer9797,$45.09,1,$45.09,$1.25,0,"Feb 05, 2021","Feb 05, 2021",2 yrs 11 mos 9 dys
Customer5019,$45.07,1,$45.07,$9.01,0,"Sep 08, 2023","Sep 08, 2023",4 mos 7 dys
Customer4936,$45.06,1,$45.06,$0.92,0,"Dec 22, 2019","Jul 23, 2016",4 yrs 24 dys
Customer5365,$45.05,1,$45.05,$3.22,0,"Nov 21, 2022","Jan 22, 2021",1 yr 1 mo 24 dys
Customer8144,$45.01,1,$45.01,$4.50,0,"Mar 30, 2023","May 16, 2018",9 mos 16 dys
Customer4659,$44.98,1,$44.98,$0.50,0,"Jul 19, 2016","Jul 19, 2016",7 yrs 5 mos 26 dys
Customer2952,$44.97,2,$22.49,$1.96,0,"Mar 23, 2022","Mar 01, 2022",1 yr 10 mos 13 dys
Customer1829,$44.96,1,$44.96,$2.37,0,"Jul 10, 2022","Jul 10, 2022",1 yr 6 mos 4 dys
Customer9512,$374.86,8,$46.86,$7.98,0,"Aug 15, 2022","Sep 04, 2019",3 yrs 10 mos 2 dys
Customer6522,$44.95,3,$14.98,$2.64,0,"Dec 05, 2022","Oct 24, 2020",1 yr 4 mos 13 dys
Customer6257,$44.95,7,$6.42,$1.00,0,"Jan 12, 2021","Aug 18, 2019",3 yrs 8 mos 29 dys
Customer8023,$44.92,1,$44.92,$22.46,0,"Nov 21, 2023","Nov 21, 2023",1 mo 24 dys
Customer8546,$44.90,4,$11.23,$1.12,0,"Feb 27, 2021","Apr 29, 2020",3 yrs 3 mos 24 dys
Customer3378,$44.79,3,$14.93,$0.48,0,"Aug 02, 2016","Apr 21, 2016",7 yrs 8 mos 24 dys
Customer1196,$44.78,2,$22.39,$0.66,0,"Mar 10, 2020","Apr 29, 2015",5 yrs 7 mos 15 dys
Customer8347,$44.77,1,$44.77,$2.04,0,"Mar 17, 2022","Oct 04, 2020",1 yr 9 mos 28 dys
Customer9618,$44.77,2,$22.39,$1.21,0,"Feb 27, 2023","Jan 17, 2015",3 yrs 18 dys
Customer4256,$44.77,5,$8.95,$5.60,0,"Sep 11, 2023","Aug 27, 2022",7 mos 28 dys
Customer4977,$44.75,1,$44.75,$4.48,0,"Apr 06, 2023","Jun 22, 2017",9 mos 9 dys
Customer5442,$374.31,2,$187.16,$12.07,0,"Jul 12, 2021","Jun 17, 2019",2 yrs 6 mos 30 dys
Customer7423,$44.72,2,$22.36,$1.06,0,"Aug 04, 2020","May 07, 2016",3 yrs 5 mos 14 dys
Customer8545,$44.70,1,$44.70,$1.49,0,"Jul 31, 2021","Jul 31, 2021",2 yrs 5 mos 14 dys
Customer9737,$44.67,1,$44.67,$2.03,0,"Apr 12, 2022","Apr 12, 2022",1 yr 9 mos 2 dys
Customer5640,$44.65,3,$14.88,$6.38,0,"Oct 19, 2023","Jan 09, 2020",6 mos 24 dys
Customer5503,$44.63,1,$44.63,$2.48,0,"Jul 31, 2022","May 01, 2020",1 yr 5 mos 14 dys
Customer1111,$44.62,2,$22.31,$8.92,0,"Oct 19, 2023","Sep 14, 2023",4 mos
Customer8589,$44.56,2,$22.28,$2.97,0,"Nov 16, 2022","Nov 10, 2022",1 yr 2 mos 4 dys
Customer7626,$44.50,1,$44.50,$3.18,0,"Dec 12, 2022","Dec 07, 2022",1 yr 1 mo 3 dys
Customer3216,$44.50,1,$44.50,$14.83,0,"Nov 01, 2023","Nov 01, 2023",2 mos 13 dys
Customer5082,$44.50,4,$11.13,$11.13,1,"Jan 05, 2024","Oct 08, 2023",3 mos 6 dys
Customer6947,$371.45,1,$371.45,$74.29,0,"Aug 25, 2023","Feb 26, 2017",4 mos 20 dys
Customer9535,$44.50,1,$44.50,$1.48,0,"Aug 10, 2021","Aug 10, 2021",2 yrs 5 mos 4 dys
Customer3599,$44.44,3,$14.81,$1.08,0,"Nov 20, 2020","Aug 18, 2020",3 yrs 4 mos 27 dys
Customer3184,$44.36,6,$7.39,$2.77,0,"Oct 13, 2023","May 27, 2020",1 yr 3 mos 27 dys
Customer8937,$44.33,2,$22.17,$1.85,0,"Apr 19, 2022","Apr 16, 2016",1 yr 11 mos 28 dys
Customer2854,$44.27,3,$14.76,$2.77,0,"Oct 14, 2022","Sep 22, 2022",1 yr 3 mos 23 dys
Customer5129,$44.15,2,$22.08,$22.08,1,"Jan 05, 2024","May 01, 2020",1 mo 25 dys
Customer8184,$44.07,1,$44.07,$2.00,0,"Mar 20, 2022","May 01, 2020",1 yr 9 mos 25 dys
